Date,Day,Wk,Phase,Hrs,Block,Task,Done when,Done (x),Notes
07/07,Tue,1,P1 Foundations,3,PROJECT,"Create monorepo (C++20, CMake, ASan/TSan CI). Start counter benchmark: mutex vs atomic vs sharded vs padded (THREADING_WARMUP.md)","Repo live, first commit, benchmark compiling",x,
07/08,Wed,1,P1 Foundations,1,DRILL,Timed OA drill: running-balance simulation (Bank A/B pattern) + Bug Checklist,"Solved in <=40 min, bugs checked",x,
07/09,Thu,1,P1 Foundations,3,PROJECT,"Finish benchmark, collect numbers. Read CACHE_AND_HARDWARE.md s1-3; explain your padded-vs-sharded gap in 5 written sentences",Numbers + written explanation in repo notes/,x,
07/10,Fri,1,P1 Foundations,1,LIGHT,Read MEMORY_MODEL_ATOMICS.md first half,Notes in own words,x,
07/13,Mon,2,P1 Foundations,1,NEW,"MEMORY_MODEL_ATOMICS.md second half: acquire/release, seq_cst, relaxed",Own-words notes,x,
07/14,Tue,2,P1 Foundations,3,PROJECT,Write CAS spinlock + deliberately-broken ABA demo in experiments/ (your code),"Both compile, ABA demonstrably fires",x,
07/15,Wed,2,P1 Foundations,1,DRILL,Timed OA drill: stack expression parser (digits/POP/DUP/+/-) + Bug Checklist,Solved in <=40 min,,
07/16,Thu,2,P1 Foundations,3,PROJECT,"Move semantics + perfect forwarding: move ctors, std::forward drills, mini unique_ptr clone. Tail: Zetamac baseline",unique_ptr clone passes tests; Zetamac score logged,x,
07/17,Fri,2,P1 Foundations,1,LIGHT,"Flashcards: memory orderings and when each is legal + LINKEDIN: profile overhaul session - settings hygiene (share-updates OFF first), headline, About, skills per LINKEDIN_PLAYBOOK.md. Draft in chat, VERIFY WITH CLAUDE, then apply",Deck reviewed,,
07/20,Mon,3,P1 Foundations,1,NEW,"CACHE_AND_HARDWARE.md s4-6: store buffer, branch prediction, measurement pitfalls. Sun: request LOCKFREE_PATTERNS.md",Self-quiz Qs 1-4 answered cold,,
07/21,Tue,3,P1 Foundations,3,PROJECT,"Build latency-histogram harness: warmup, p50/p99/p99.9/max, DoNotOptimize sink, pinning",Harness measures a known workload believably,,
07/22,Wed,3,P1 Foundations,1,DRILL,Timed OA drill: adjacent-pair construction (de Bruijn flavor) + Bug Checklist,Solved in <=40 min,,
07/23,Thu,3,P1 Foundations,3,PROJECT,"LOCKFREE_PATTERNS.md + SPSC paper design vs SPSC_QUEUE_GUIDE.md: indices, memory orders, wraparound, full/empty",One-page paper design done,,
07/24,Fri,3,P1 Foundations,1,CHECKPOINT,"CHECKPOINT 1: Claude quiz - memory model, false sharing, CAS/ABA, moves. Harness demo",Pass = acquire/release explained cold + honest numbers,,
07/27,Mon,4,P2 SPSC + Mocks,1,NEW,"SPSC design review: paste paper design, Claude pokes holes, you defend",Design frozen,,
07/28,Tue,4,P2 SPSC + Mocks,3,PROJECT,Implement SPSC ring buffer (your code),"Compiles, basic push/pop tests pass",,
07/29,Wed,4,P2 SPSC + Mocks,1,DRILL,Timed OA drill: mixed (Claude picks) + Bug Checklist,Solved in <=40 min,,
07/30,Thu,4,P2 SPSC + Mocks,3,MOCK OA #1,"2h timed, 3 problems in leaked CTC format (simulation/constructive/stack), then 1h review",Score + gap list written,,
07/31,Fri,4,P2 SPSC + Mocks,1,LIGHT,TSan + stress test SPSC; log every failure,"TSan output saved, failures listed",,
08/03,Mon,5,P2 SPSC + Mocks,1,NEW,Fix Mock #1 gaps (from gap list),Each gap has a redo problem solved,,
08/04,Tue,5,P2 SPSC + Mocks,3,MOCK OA #2,"2h timed, new problems, same format, then 1h review",Score improved vs #1; residual gaps listed,,
08/05,Wed,5,P2 SPSC + Mocks,1,DRILL,OA drill targeting weakest mock category + Bug Checklist,Weak category re-drilled,,
08/06,Thu,5,P2 SPSC + Mocks,3,PROJECT,"SPSC through harness: p50/p99/p99.9/max. Tune padding, cached indices, batching. THEN head-to-head: same harness vs rigtorp::SPSCQueue, moodycamel::ReaderWriterQueue, folly ProducerConsumerQueue, boost::lockfree::spsc_queue",Numbers + comparison table in spsc/README (reproducible),,
